 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602804557.6628535]         [Thread #31]    - [Thread #31] running on [1/28] CPUs
[1602804557.6629496]         [Thread #31]      Creating output directories...
[1602804557.6643517]         [Thread #31]      Translating reads...
[1602804577.4231288]         [Thread #31]      Running DIAMOND...
[1602804583.0643878]         [Thread #31]      Converting DIAMOND...
[1602804583.1825178]         [Thread #31]      Parsing DIAMOND...
[1602804583.5464494]         [Thread #31]      Annotating...
[1602804583.939588]          [Thread #31]      Analyzing...
[1602804584.256992]          [Thread #31]      Create read mapping...
[1602804599.7719522]         [Thread #31]    - [Thread #31] finished
[1602804579.7558222]         [Thread #32]    - [Thread #32] running on [1/28] CPUs
[1602804579.755903]          [Thread #32]      Creating output directories...
[1602804579.7573462]         [Thread #32]      Translating reads...
[1602804599.6861901]         [Thread #32]      Running DIAMOND...
[1602804605.176739]          [Thread #32]      Converting DIAMOND...
[1602804605.291575]          [Thread #32]      Parsing DIAMOND...
[1602804605.4605494]         [Thread #32]      Annotating...
[1602804605.742115]          [Thread #32]      Analyzing...
[1602804605.9432595]         [Thread #32]      Create read mapping...
[1602804622.6021614]         [Thread #32]    - [Thread #32] finished
[1602804602.0330324]         [Thread #33]    - [Thread #33] running on [1/28] CPUs
[1602804602.0330706]         [Thread #33]      Creating output directories...
[1602804602.034601]          [Thread #33]      Translating reads...
[1602804622.5836153]         [Thread #33]      Running DIAMOND...
[1602804628.0910997]         [Thread #33]      Converting DIAMOND...
[1602804628.2164793]         [Thread #33]      Parsing DIAMOND...
[1602804628.4688323]         [Thread #33]      Annotating...
[1602804628.8995874]         [Thread #33]      Analyzing...
[1602804629.21857]           [Thread #33]      Create read mapping...
[1602804646.1239564]         [Thread #33]    - [Thread #33] finished
[1602804624.8374093]         [Thread #34]    - [Thread #34] running on [1/28] CPUs
[1602804624.8374932]         [Thread #34]      Creating output directories...
[1602804624.838922]          [Thread #34]      Translating reads...
[1602804646.4065626]         [Thread #34]      Running DIAMOND...
[1602804651.892005]          [Thread #34]      Converting DIAMOND...
[1602804652.014803]          [Thread #34]      Parsing DIAMOND...
[1602804652.28349]           [Thread #34]      Annotating...
[1602804652.647655]          [Thread #34]      Analyzing...
[1602804652.9781086]         [Thread #34]      Create read mapping...
[1602804668.057731]          [Thread #34]    - [Thread #34] finished
[1602804648.6324968]         [Thread #35]    - [Thread #35] running on [1/28] CPUs
[1602804648.6325867]         [Thread #35]      Creating output directories...
[1602804648.633998]          [Thread #35]      Translating reads...
[1602804668.0006263]         [Thread #35]      Running DIAMOND...
[1602804673.5488167]         [Thread #35]      Converting DIAMOND...
[1602804673.6835284]         [Thread #35]      Parsing DIAMOND...
[1602804673.8896198]         [Thread #35]      Annotating...
[1602804674.1267529]         [Thread #35]      Analyzing...
[1602804674.4022663]         [Thread #35]      Create read mapping...
[1602804690.0618627]         [Thread #35]    - [Thread #35] finished
[1602804670.6622033]         [Thread #36]    - [Thread #36] running on [1/28] CPUs
[1602804670.6623216]         [Thread #36]      Creating output directories...
[1602804670.6638138]         [Thread #36]      Translating reads...
[1602804689.9990757]         [Thread #36]      Running DIAMOND...
[1602804695.4642427]         [Thread #36]      Converting DIAMOND...
[1602804695.5824716]         [Thread #36]      Parsing DIAMOND...
[1602804695.796525]          [Thread #36]      Annotating...
[1602804696.227922]          [Thread #36]      Analyzing...
[1602804696.5609136]         [Thread #36]      Create read mapping...
[1602804711.6984832]         [Thread #36]    - [Thread #36] finished
[1602804692.3318624]         [Thread #37]    - [Thread #37] running on [1/28] CPUs
[1602804692.3319433]         [Thread #37]      Creating output directories...
[1602804692.33607]           [Thread #37]      Translating reads...
[1602804711.6312993]         [Thread #37]      Running DIAMOND...
[1602804717.171484]          [Thread #37]      Converting DIAMOND...
[1602804717.2906535]         [Thread #37]      Parsing DIAMOND...
[1602804717.5335832]         [Thread #37]      Annotating...
[1602804717.7797043]         [Thread #37]      Analyzing...
[1602804718.0879414]         [Thread #37]      Create read mapping...
[1602804733.4851198]         [Thread #37]    - [Thread #37] finished
[1602804713.9694846]         [Thread #38]    - [Thread #38] running on [1/28] CPUs
[1602804713.9695673]         [Thread #38]      Creating output directories...
[1602804713.9710248]         [Thread #38]      Translating reads...
[1602804733.4777126]         [Thread #38]      Running DIAMOND...
[1602804738.9833713]         [Thread #38]      Converting DIAMOND...
[1602804739.119607]          [Thread #38]      Parsing DIAMOND...
[1602804739.289104]          [Thread #38]      Annotating...
[1602804739.5975618]         [Thread #38]      Analyzing...
[1602804739.930622]          [Thread #38]      Create read mapping...
[1602804755.2963147]         [Thread #38]    - [Thread #38] finished
[1602804735.6741276]         [Thread #39]    - [Thread #39] running on [1/28] CPUs
[1602804735.674209]          [Thread #39]      Creating output directories...
[1602804735.675476]          [Thread #39]      Translating reads...
[1602804755.2345498]         [Thread #39]      Running DIAMOND...
[1602804760.6854372]         [Thread #39]      Converting DIAMOND...
[1602804760.9558759]         [Thread #39]      Parsing DIAMOND...
[1602804761.103695]          [Thread #39]      Annotating...
[1602804761.5749187]         [Thread #39]      Analyzing...
[1602804761.9288957]         [Thread #39]      Create read mapping...
[1602804777.3344743]         [Thread #39]    - [Thread #39] finished
[1602804757.544038]          [Thread #40]    - [Thread #40] running on [1/28] CPUs
[1602804757.5441213]         [Thread #40]      Creating output directories...
[1602804757.5455859]         [Thread #40]      Translating reads...
[1602804777.337589]          [Thread #40]      Running DIAMOND...
[1602804782.7991517]         [Thread #40]      Converting DIAMOND...
[1602804783.0054457]         [Thread #40]      Parsing DIAMOND...
[1602804783.1676333]         [Thread #40]      Annotating...
[1602804783.5396156]         [Thread #40]      Analyzing...
[1602804783.7655103]         [Thread #40]      Create read mapping...
[1602804798.855809]          [Thread #40]    - [Thread #40] finished
[1602804779.5646682]         [Thread #41]    - [Thread #41] running on [1/28] CPUs
[1602804779.564754]          [Thread #41]      Creating output directories...
[1602804779.5664086]         [Thread #41]      Translating reads...
[1602804798.8044767]         [Thread #41]      Running DIAMOND...
[1602804804.349182]          [Thread #41]      Converting DIAMOND...
[1602804804.4673429]         [Thread #41]      Parsing DIAMOND...
[1602804804.6366267]         [Thread #41]      Annotating...
[1602804805.0668736]         [Thread #41]      Analyzing...
[1602804805.3952587]         [Thread #41]      Create read mapping...
[1602804820.561901]          [Thread #41]    - [Thread #41] finished
[1602804801.1100476]         [Thread #42]    - [Thread #42] running on [1/28] CPUs
[1602804801.1101308]         [Thread #42]      Creating output directories...
[1602804801.1116283]         [Thread #42]      Translating reads...
[1602804820.487429]          [Thread #42]      Running DIAMOND...
[1602804825.93566]           [Thread #42]      Converting DIAMOND...
[1602804826.0456052]         [Thread #42]      Parsing DIAMOND...
[1602804826.1983075]         [Thread #42]      Annotating...
[1602804826.5858386]         [Thread #42]      Analyzing...
[1602804826.9236193]         [Thread #42]      Create read mapping...
[1602804842.3866355]         [Thread #42]    - [Thread #42] finished
[1602804822.8524833]         [Thread #43]    - [Thread #43] running on [1/28] CPUs
[1602804822.8525665]         [Thread #43]      Creating output directories...
[1602804822.854407]          [Thread #43]      Translating reads...
[1602804842.3224561]         [Thread #43]      Running DIAMOND...
[1602804847.8787072]         [Thread #43]      Converting DIAMOND...
[1602804848.000294]          [Thread #43]      Parsing DIAMOND...
[1602804848.2038763]         [Thread #43]      Annotating...
[1602804848.5326457]         [Thread #43]      Analyzing...
[1602804848.808001]          [Thread #43]      Create read mapping...
[1602804865.6833444]         [Thread #43]    - [Thread #43] finished
[1602804844.6600122]         [Thread #44]    - [Thread #44] running on [1/28] CPUs
[1602804844.660096]          [Thread #44]      Creating output directories...
[1602804844.6614802]         [Thread #44]      Translating reads...
[1602804865.675565]          [Thread #44]      Running DIAMOND...
[1602804871.1602535]         [Thread #44]      Converting DIAMOND...
[1602804871.2700412]         [Thread #44]      Parsing DIAMOND...
[1602804871.4504967]         [Thread #44]      Annotating...
[1602804871.7683988]         [Thread #44]      Analyzing...
[1602804872.06762]           [Thread #44]      Create read mapping...
[1602804888.7410629]         [Thread #44]    - [Thread #44] finished
[1602804867.8913367]         [Thread #45]    - [Thread #45] running on [1/28] CPUs
[1602804867.8913882]         [Thread #45]      Creating output directories...
[1602804867.8926408]         [Thread #45]      Translating reads...
[1602804888.730643]          [Thread #45]      Running DIAMOND...
[1602804894.320558]          [Thread #45]      Converting DIAMOND...
[1602804894.4265525]         [Thread #45]      Parsing DIAMOND...
[1602804894.5624447]         [Thread #45]      Annotating...
[1602804894.68808]           [Thread #45]      Analyzing...
[1602804895.006761]          [Thread #45]      Create read mapping...
[1602804911.1350462]         [Thread #45]    - [Thread #45] finished
