 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602813790.2028644]         [Thread #24]    - [Thread #24] running on [1/28] CPUs
[1602813790.2029476]         [Thread #24]      Creating output directories...
[1602813790.204663]          [Thread #24]      Translating reads...
[1602813811.0551295]         [Thread #24]      Running DIAMOND...
[1602813816.8118887]         [Thread #24]      Converting DIAMOND...
[1602813816.9095259]         [Thread #24]      Parsing DIAMOND...
[1602813817.0924764]         [Thread #24]      Annotating...
[1602813817.2214053]         [Thread #24]      Analyzing...
[1602813817.425447]          [Thread #24]      Create read mapping...
[1602813829.4513533]         [Thread #24]    - [Thread #24] finished
[1602813813.3307233]         [Thread #25]    - [Thread #25] running on [1/28] CPUs
[1602813813.330768]          [Thread #25]      Creating output directories...
[1602813813.3338656]         [Thread #25]      Translating reads...
[1602813833.3318894]         [Thread #25]      Running DIAMOND...
[1602813839.04162]           [Thread #25]      Converting DIAMOND...
[1602813839.127784]          [Thread #25]      Parsing DIAMOND...
[1602813839.3309624]         [Thread #25]      Annotating...
[1602813839.8531024]         [Thread #25]      Analyzing...
[1602813840.253936]          [Thread #25]      Create read mapping...
[1602813855.151558]          [Thread #25]    - [Thread #25] finished
[1602813835.692647]          [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602813835.6927323]         [Thread #26]      Creating output directories...
[1602813835.6951177]         [Thread #26]      Translating reads...
[1602813855.1357844]         [Thread #26]      Running DIAMOND...
[1602813860.903383]          [Thread #26]      Converting DIAMOND...
[1602813861.0209663]         [Thread #26]      Parsing DIAMOND...
[1602813861.1640134]         [Thread #26]      Annotating...
[1602813861.4870229]         [Thread #26]      Analyzing...
[1602813861.6041932]         [Thread #26]      Create read mapping...
[1602813874.3957987]         [Thread #26]    - [Thread #26] finished
[1602813857.5038302]         [Thread #27]    - [Thread #27] running on [1/28] CPUs
[1602813857.503915]          [Thread #27]      Creating output directories...
