"name";"temp_final";"dif_final";"cluster"
"Echinosphaeridium nordstedtii";20;0;2
"Ecklonia maxima";10;0;1
"Ecklonia radiata";10;0;1
"Ecklonia radicosa";10;0;1
"Ectocarpus fasciculata";10;0;1
"Ectocarpus fasciculatus";10;0;1
"Ectocarpus siliculosus";10;0.380434782608696;1
"Ectocarpus sp. no data ";10;0;1
"Elachista stellaris";10;0;1
"Emiliania huxleyi";20;2.64705882352941;2
"Enteromorpha intestinalis";15;0;1
"Enteromorpha linza";12.5;2.5;1
"Enteromorpha sp. ";15;0;1
"Enteromorpha sp. no data ";12.5;2.5;1
"Eocercomonas echina";20;0;2
"Eolimna minima";15;0;1
"Eolimna subminuscula";15;0;1
"Epipyxis glabra";20;0;2
"Eremosphaera gigas";20;0;2
"Eremosphaera viridis";20;0;2
"Esquamula lacrimiformis";20;0;2
"Euastrum biverrucosum";22;0;2
"Eucampia sp. ";15;0;1
"Eudesme shandongensis";10;0;1
"Eudesme virescens";10;0;1
"Eudorina cylindrica";20;0;2
"Eudorina elegans";20;0;2
"Eudorina illinoisensis";20;0;2
"Eudorina minodii";20;0;2
"Eudorina peripheralis";20;0;2
"Eudorina sp. ";20;0;2
"Eudorina unicocca";20;0;2
"Euglena anabaena";20;0;2
"Euglena clara";20;0;2
"Euglena gracilis";20;0;2
"Euglena mutabilis";20;0;2
"Euglena sp. ";20;3.33333333333333;2
"Euglena viridis";20;0;2
"Eunotia pectinalis";15;0;1
"Eutreptiella gymnastica";20;0;2
"Eutreptiella sp. ";20;0;2
"Falkenbergia rufolanosa";10;0;1
"Feldmannia globifer";10;0;1
"Feldmannia globifera";10;0;1
"Feldmannia irregularis";10;0;1
"Feldmannia simplex";10;0;1
"Feldmannophycus okamurae";15;0;1
"Feldmannophycus okamurae ";15;0;1
"Fibrocapsa japonica";20;0;2
"Fibrocapsa sp. ";20;0;2
"Fischerella major";20;0;2
"Fischerella sp. ";28.5;8.5;2
"Fistulifera saprophila";15;0;1
"Flectomonas lenta";15;0;1
"Florenciella parvula";15;0;1
"Florenciella sp. ";20;0;2
"Fragilaria capucina";15;0;1
"Fragilaria gracilis";20;0;2
"Fragilidium sp. ";20;0;2
"Fremyella diplosiphon";20;0;2
"Fukuyoa yasumotoi";20;0;2
"Galaxaura articulata";15;0;1
"Galaxaura latifolia";15;0;1
"Galaxaura pacifica";15;0;1
"Galaxaura rugosa";15;0;1
"Galaxaura sp. no data ";15;0;1
"Galdieria  sulphuraria";37;0;3
"Galdieria sulphuraria";37;0;3
"Gambierdiscus australes";20;0;2
"Gambierdiscus scabrosus";20;0;2
"Gambierdiscus sp. ";22;0;2
"Gambierdiscus toxicus";20;0;2
"Gelidium elegans";15;0.769230769230769;1
"Gelidium koshikianum";15;0;1
"Gelidium pusillum";15;0;1
"Gelidium sp.";15;0;1
"Geminocarpus geminatus";10;0;1
"Geminocystis sp. ";20;0;2
"Gephyrocapsa oceanica";20;0.625;2
"Gertia stigmatica";20;0;2
"Giraudia sphacelarioides";10;0;1
"Giraudyopsis sp. ";20;0;2
"Glaucocystis bhattacharyae";20;0;2
"Glaucocystis geitleri";20;0;2
"Glaucocystis miyajii";20;0;2
"Glaucocystis oocystiformis";20;0;2
"Glenodiniopsis uliginosa";20;0;2
"Gloeocapsa decorticans";24;0;2
"Gloeomonas anomalipyrenoides";20;0;2
"Gloeomonas lateperforata";20;0;2
"Glossomastix chrysoplasta";20;0;2
"Glossomastix sp. ";20;0;2
"Gomphonema gracile";15;0;1
"Gomphonema parvulum";10;1.66666666666667;1
"Gonatozygon brebissonii";20;0;2
"Gonatozygon monotaenium";20;0;2
"Goniomonas amphinema";15;0;1
"Goniomonas pacifica";20;0;2
"Goniomonas sp. ";20;0;2
"Goniomonas truncata";15;0;1
"Gonium maiaprilis";20;0;2
"Gonium multicoccum";20;2.14285714285714;2
"Gonium octonarium";20;0;2
"Gonium pectorale";20;1.42857142857143;2
"Gonium quadratum";20;0;2
"Gonium viridistellatum";20;0;2
"Gononema sp. no data ";10;0;1
"Gonyostomum latum";20;0;2
"Gonyostomum semen";17.5;2.5;2
"Gracilaria chilensis";10;1.25;1
"Gracilaria gracilis";10;0;1
"Gracilaria sp. no data ";15;0;1
"Gracilaria textorii";10;0;1
"Gracilaria verrucosa";10;0;1
"Gracilariopsis lemaneiformis";10;0;1
"Graesiella emersonii";20;0;2
"Grateloupia lanceolata";15;0.833333333333333;1
"Grateloupia okamurae";10;0;1
"Griffithsia japonica";10;0;1
"Griffithsia pacifica";15;0;1
"Griffithsia teges";15;0;1
"Gungnir kasakii";20;0;2
"Gungnir neglectum";20;0;2
"Gymnodinium catenatum";20;0;2
"Gymnodinium impudicum";20;0;2
"Gymnodinium sp. ";20;1.875;2
"Gymnomonas nepalensis";20;0;2
"Gymnoxanthella radiolariae";20;0;2
"Gyrodinium falcatum";20;0;2
"Gyrodinium instriatum";20;0;2
"Gyrodinium sp. ";20;0;2
"Haematococcus lacustris";20;0;2
"Haematococcus sp. ";20;0;2
"Hafniomonas conica";25;0;2
"Hafniomonas laevis";20;0;2
"Hafniomonas montana";20;0;2
"Hafniomonas reticulata";25;0;2
"Hafniomonas sp. ";20;0;2
"Hafniomonas turbinea";25;0;2
"Halochlorococcum sp. ";20;0;2
"Halopteris congesta";10;0;1
"Halopteris filicina";10;0;1
"Halopteris gracilescens";10;0;1
"Halopteris paniculata";10;0;1
"Hamakko caudatus";20;0;2
"Hantzschia amphioxys";15;0;1
"Hapalochloris nozakii";20;0;2
"Haplospora globosa";10;0;1
"Haramonas dimorpha";20;0;2
"Haramonas pauciplastida";20;0;2
"Helicosphaera wallichii";20;0;2
"Helminthocladia australis";15;1.25;1
"Hemidinium nasutum";20;0;2
"Hemiflagellochloris kazakhstanica";20;0;2
"Hemiselmis andersenii";20;0;2
"Herpochondria elegans";10;0;1
"Heterocapsa circularisquama";20;0;2
"Heterocapsa ovata";20;0;2
"Heterocapsa pseudotriquetra";20;0;2
"Heterocapsa sp. ";20;0;2
"Heterocapsa triquetra";20;0;2
"Heterochlamydomonas lobata";20;0;2
"Heterochlamydomonas sp. ";20;0;2
