name,temp_final,dif_final,cluster
Agromyces neolithicus,28,0,1
Agromyces ramosus,28,0,1
Agromyces rhizospherae,28,0,1
Agromyces salentinus,28,0,1
Agromyces soli,28,0,1
Agromyces subbeticus,28,0,1
Agromyces subtropicus,28,0,1
Agromyces terreus,25,0,1
Agromyces tropicus,28,0,1
Agromyces ulmi,28,0,1
Ahrensia kielensis,26,0,1
Aidingimonas halophila,32.5,4.5,2
Akkermansia muciniphila,37,0,2
Albibacter methylovorans,28,0,1
Albidovulum inexpectatum,50,0,2
Albidovulum xiamenense,55,0,3
Albimonas donghaensis,33,0,2
Alcaligenes faecalis,30,0,1
Alcaligenes faecalis subsp. faecalis,30,1.2,1
Alcaligenes faecalis subsp. parafaecalis,37,0,2
Alcaligenes faecalis subsp. phenolicus,30,0,1
Alcaligenes sp.,30,0,1
Alcanivorax balearicus,28,0,1
Alcanivorax borkumensis,28,0,1
Alcanivorax dieselolei,28,0,1
Alcanivorax jadensis,25,0,1
Alcanivorax sp.,28,0,1
Alcanivorax venustensis,23,0,1
Aleurodiscus amorphus,22,0,1
Algibacter lectus,25,0,1
Algibacter pectinivorans,25,0,1
Algicola sagamiensis,28,0,1
Algiphilus aromaticivorans,28,0,1
Algoriphagus alkaliphilus,28,0,1
Algoriphagus antarcticus,20,0,1
Algoriphagus aquaeductus,28,0,1
Algoriphagus aquimarinus,28,0,1
Algoriphagus boritolerans,28,0,1
Algoriphagus chordae,25,0,1
Algoriphagus faecimaris,37,0,2
Algoriphagus halophilus,35,0,2
Algoriphagus hitonicola,37,0,2
Algoriphagus locisalis,28,0,1
Algoriphagus machipongonensis,28,0,1
Algoriphagus mannitolivorans,37,0,2
Algoriphagus marincola,35,0,2
Algoriphagus ornithinivorans,37,0,2
Algoriphagus ratkowskyi,28,0,1
Algoriphagus terrigena,25,0,1
Algoriphagus vanfongensis,28,0,1
Algoriphagus winogradskyi,25,0,1
Algoriphagus yeomjeoni,28,0,1
Algoriphagus zhangzhouensis,28,0,1
Aliagarivorans marinus,28,0,1
Aliagarivorans taiwanensis,28,0,1
Alicycliphilus denitrificans,28,0,1
Alicyclobacillus acidiphilus,45,0,2
Alicyclobacillus acidocaldarius subsp. acidocaldarius,60,0,3
Alicyclobacillus acidocaldarius subsp. rittmannii,55,0,3
Alicyclobacillus acidoterrestris,45,0,2
Alicyclobacillus contaminans,55,0,3
Alicyclobacillus cycloheptanicus,45,0,2
Alicyclobacillus disulfidooxidans,35,0,2
Alicyclobacillus fastidiosus,45,0,2
Alicyclobacillus ferrooxydans,30,0,1
Alicyclobacillus herbarius,55,0,3
Alicyclobacillus hesperidum,50,0,2
Alicyclobacillus kakegawensis,50,0,2
Alicyclobacillus macrosporangiidus,50,0,2
Alicyclobacillus pomorum,45,0,2
Alicyclobacillus sacchari,50,0,2
Alicyclobacillus sendaiensis,50,0,2
Alicyclobacillus shizuokensis,50,0,2
Alicyclobacillus sp.,55,3.75,3
Alicyclobacillus tengchongensis,50,0,2
Alicyclobacillus vulcanalis,55,0,3
Aliicoccus persicus,37,0,2
Aliidiomarina maris,28,0,1
Aliifodinibius roseus,28,0,1
Aliifodinibius sediminis,28,0,1
Aliihoeflea aestuarii,28,0,1
Aliivibrio finisterrensis,28,0,1
Aliivibrio fischeri,22,0.5,1
Aliivibrio logei,15,0,1
Aliivibrio salmonicida,15,0,1
Aliivibrio sifiae,20,0,1
Aliivibrio wodanis,15,0,1
Alishewanella aestuarii,28,0,1
Alishewanella agri,28,0,1
Alishewanella fetalis,35,0,2
Alishewanella jeotgali,28,0,1
Alishewanella tabrizica,28,0,1
Alistipes finegoldii,37,0,2
Alistipes indistinctus,37,0,2
Alistipes onderdonkii,37,0,2
Alistipes putredinis,37,0,2
Alistipes shahii,37,0,2
Alistipes timonensis,37,0,2
Alkalibacillus almallahensis,30,0,1
Alkalibacillus filiformis,37,0,2
Alkalibacillus flavidus,35,0,2
Alkalibacillus haloalkaliphilus,30,0,1
Alkalibacillus halophilus,30,0,1
Alkalibacillus salilacus,30,0,1
Alkalibacillus silvisoli,30,0,1
Alkalibacter saccharofermentans,35,0,2
Alkalibacterium gilvum,30,0,1
Alkalibacterium kapii,28,0,1
Alkalibacterium olivapovliticus,25,0,1
Alkalibacterium pelagium,28,0,1
Alkalibacterium putridalgicola,28,0,1
Alkalibacterium subtropicum,30,0,1
Alkalibacterium thalassium,28,0,1
Alkalibaculum bacchi,37,0,2
Alkaliflexus imshenetskii,30,0,1
Alkalilimnicola ehrlichii,30,0,1
Alkalilimnicola halodurans,37,0,2
Alkalimonas amylolytica,37,0,2
Alkalimonas delamerensis,37,0,2
Alkaliphilus halophilus,30,0,1
Alkaliphilus oremlandii,37,0,2
Alkaliphilus peptidifermentans,35,0,2
Alkalispirillum mobile,37,0,2
Alkalitalea saponilacus,35,0,2
Alkanindiges hongkongensis,37,0,2
Alkanindiges illinoisensis,28,0,1
Allisonella histaminiformans,37,0,2
Alloactinosynnema album,28,0,1
Allobaculum stercoricanis,37,0,2
Allocatelliglobosispora scoriae,28,0,1
Allochromatium minutissimum,25,0,1
Allochromatium palmeri,28,0,1
Allochromatium phaeobacterium,28,0,1
Allochromatium renukae,28,0,1
Allochromatium sp.,25,0,1
Allochromatium vinosum,25,0,1
Allochromatium warmingii,22.5,2.5,1
Allofustis seminis,37,0,2
Alloiococcus otitis,37,0,2
Allokutzneria albata,28,0,1
Allokutzneria multivorans,28,0,1
Allomyces arbuscula,24,0,1
Allonocardiopsis opalescens,28,0,1
Alloprevotella rava,37,0,2
Alloscardovia criceti,37,0,2
Alloscardovia macacae,37,0,2
Alloscardovia omnicolens,37,0,2
Alpinimonas psychrophila,15,0,1
Altererythrobacter indicus,30,0,1
Altererythrobacter marensis,28,0,1
Alteribacillus bidgolensis,30,0,1
Alternaria alternata,24,1.25,1
Alternaria brassicicola,24,0,1
Alternaria burnsii,24,0,1
Alternaria calendulae,24,0,1
Alternaria cinerariae,24,0,1
Alternaria citri,24,0,1
Alternaria dauci,24,0,1
Alternaria kikuchiana,27,0,1
Alternaria leucanthemi,24,0,1
Alternaria lini,24,0,1
Alternaria longissima,24,0,1
Alternaria padwickii,25,0,1
Alternaria pimpriana,24,0,1
Alternaria radicina,24,0,1
Alternaria raphani,24,0,1
Alternaria sesami,24,0,1
Alternaria solani,24,1.333333333,1
Alternaria stemphylioides,24,0,1
Alternaria tenuissima,24,0,1
Alternaria zinniae,24,0,1
Alteromonas addita,25,0,1
Alteromonas fuliginea,28,0,1
Alteromonas genovensis,28,0,1
Alteromonas macleodii,22,0.6,1
Alteromonas sp.,25,3,1
Alteromonas stellipolaris,20,0,1
Alysiella crassa,37,0,2
Alysiella filiformis,37,0,2
Amanita citrina,22,0,1
Amanita porphyria,20,0,1
Amanita rubescens,20,0,1
Amantichitinum ursilacus,28,0,1
Amauroascus aureus,24,0,1
Amauroascus verrucosus,24,0,1
Ambrosiella ferruginea,24,0,1
Ambrosiella gnathotrichi,24,0,1
Ambrosiella hartigii,28,0,1
