 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602809042.0545106]         [Thread #21]      Creating output directories...
[1602809042.0560966]         [Thread #21]      Translating reads...
[1602809062.1029356]         [Thread #21]      Running DIAMOND...
[1602809067.9804173]         [Thread #21]      Converting DIAMOND...
[1602809068.0806437]         [Thread #21]      Parsing DIAMOND...
[1602809068.3599331]         [Thread #21]      Annotating...
[1602809068.571783]          [Thread #21]      Analyzing...
[1602809068.886227]          [Thread #21]      Create read mapping...
[1602809084.030215]          [Thread #21]    - [Thread #21] finished
[1602809064.2746441]         [Thread #22]    - [Thread #22] running on [1/28] CPUs
[1602809064.2747262]         [Thread #22]      Creating output directories...
[1602809064.2764122]         [Thread #22]      Translating reads...
[1602809084.0139055]         [Thread #22]      Running DIAMOND...
[1602809089.934341]          [Thread #22]      Converting DIAMOND...
[1602809090.0243926]         [Thread #22]      Parsing DIAMOND...
[1602809090.313285]          [Thread #22]      Annotating...
[1602809090.5965614]         [Thread #22]      Analyzing...
[1602809090.8290083]         [Thread #22]      Create read mapping...
[1602809105.7135124]         [Thread #22]    - [Thread #22] finished
[1602809086.2561479]         [Thread #23]    - [Thread #23] running on [1/28] CPUs
[1602809086.2562673]         [Thread #23]      Creating output directories...
[1602809086.2578812]         [Thread #23]      Translating reads...
[1602809105.9651592]         [Thread #23]      Running DIAMOND...
[1602809111.801179]          [Thread #23]      Converting DIAMOND...
[1602809111.9115052]         [Thread #23]      Parsing DIAMOND...
[1602809112.1134229]         [Thread #23]      Annotating...
[1602809112.4718292]         [Thread #23]      Analyzing...
[1602809112.7521956]         [Thread #23]      Create read mapping...
[1602809128.0567262]         [Thread #23]    - [Thread #23] finished
[1602809108.1779912]         [Thread #24]    - [Thread #24] running on [1/28] CPUs
[1602809108.1780777]         [Thread #24]      Creating output directories...
[1602809108.1796813]         [Thread #24]      Translating reads...
[1602809128.1159198]         [Thread #24]      Running DIAMOND...
[1602809133.9504027]         [Thread #24]      Converting DIAMOND...
[1602809134.0816083]         [Thread #24]      Parsing DIAMOND...
[1602809134.221912]          [Thread #24]      Annotating...
[1602809134.382632]          [Thread #24]      Analyzing...
[1602809134.640611]          [Thread #24]      Create read mapping...
[1602809149.9123213]         [Thread #24]    - [Thread #24] finished
[1602809130.3324122]         [Thread #25]    - [Thread #25] running on [1/28] CPUs
[1602809130.3325002]         [Thread #25]      Creating output directories...
[1602809130.3351305]         [Thread #25]      Translating reads...
[1602809149.8413327]         [Thread #25]      Running DIAMOND...
[1602809155.7511344]         [Thread #25]      Converting DIAMOND...
[1602809155.8369632]         [Thread #25]      Parsing DIAMOND...
[1602809155.9665294]         [Thread #25]      Annotating...
[1602809156.230622]          [Thread #25]      Analyzing...
[1602809156.5170608]         [Thread #25]      Create read mapping...
[1602809168.3166873]         [Thread #25]    - [Thread #25] finished
[1602809152.1719303]         [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602809152.1720138]         [Thread #26]      Creating output directories...
[1602809152.1733515]         [Thread #26]      Translating reads...
[1602809172.1792684]         [Thread #26]      Running DIAMOND...
[1602809178.068595]          [Thread #26]      Converting DIAMOND...
[1602809178.177659]          [Thread #26]      Parsing DIAMOND...
[1602809178.3223531]         [Thread #26]      Annotating...
[1602809178.65466]           [Thread #26]      Analyzing...
[1602809178.9399486]         [Thread #26]      Create read mapping...
[1602809193.4207206]         [Thread #26]    - [Thread #26] finished
[1602809174.4875784]         [Thread #27]    - [Thread #27] running on [1/28] CPUs
[1602809174.487664]          [Thread #27]      Creating output directories...
[1602809174.4910522]         [Thread #27]      Translating reads...
[1602809193.9237506]         [Thread #27]      Running DIAMOND...
[1602809199.902171]          [Thread #27]      Converting DIAMOND...
[1602809200.0271463]         [Thread #27]      Parsing DIAMOND...
[1602809200.2977111]         [Thread #27]      Annotating...
[1602809200.4708865]         [Thread #27]      Analyzing...
[1602809200.6747544]         [Thread #27]      Create read mapping...
[1602809215.5496957]         [Thread #27]    - [Thread #27] finished
[1602809196.2453554]         [Thread #28]    - [Thread #28] running on [1/28] CPUs
[1602809196.2454422]         [Thread #28]      Creating output directories...
[1602809196.2481499]         [Thread #28]      Translating reads...
[1602809215.4860468]         [Thread #28]      Running DIAMOND...
[1602809221.353086]          [Thread #28]      Converting DIAMOND...
[1602809221.4591331]         [Thread #28]      Parsing DIAMOND...
[1602809221.7096288]         [Thread #28]      Annotating...
[1602809222.0119731]         [Thread #28]      Analyzing...
[1602809222.2984135]         [Thread #28]      Create read mapping...
[1602809237.3981395]         [Thread #28]    - [Thread #28] finished
[1602809218.1578832]         [Thread #29]    - [Thread #29] running on [1/28] CPUs
[1602809218.1579645]         [Thread #29]      Creating output directories...
[1602809218.159478]          [Thread #29]      Translating reads...
[1602809237.3451147]         [Thread #29]      Running DIAMOND...
[1602809243.3378549]         [Thread #29]      Converting DIAMOND...
[1602809243.445294]          [Thread #29]      Parsing DIAMOND...
[1602809243.684262]          [Thread #29]      Annotating...
[1602809244.0454617]         [Thread #29]      Analyzing...
[1602809244.3123984]         [Thread #29]      Create read mapping...
[1602809259.417796]          [Thread #29]    - [Thread #29] finished
[1602809239.6731572]         [Thread #30]    - [Thread #30] running on [1/28] CPUs
[1602809239.6732905]         [Thread #30]      Creating output directories...
[1602809239.6747313]         [Thread #30]      Translating reads...
[1602809259.4053767]         [Thread #30]      Running DIAMOND...
[1602809265.2293284]         [Thread #30]      Converting DIAMOND...
[1602809265.3400936]         [Thread #30]      Parsing DIAMOND...
[1602809265.512729]          [Thread #30]      Annotating...
[1602809265.8460646]         [Thread #30]      Analyzing...
[1602809266.1411657]         [Thread #30]      Create read mapping...
[1602809281.3287935]         [Thread #30]    - [Thread #30] finished
[1602809261.673757]          [Thread #31]    - [Thread #31] running on [1/28] CPUs
[1602809261.6738422]         [Thread #31]      Creating output directories...
[1602809261.6753604]         [Thread #31]      Translating reads...
[1602809282.3334556]         [Thread #31]      Running DIAMOND...
[1602809288.320443]          [Thread #31]      Converting DIAMOND...
[1602809288.4348326]         [Thread #31]      Parsing DIAMOND...
[1602809288.6112216]         [Thread #31]      Annotating...
[1602809288.937488]          [Thread #31]      Analyzing...
[1602809289.048311]          [Thread #31]      Create read mapping...
[1602809303.3083346]         [Thread #31]    - [Thread #31] finished
[1602809284.5502923]         [Thread #32]    - [Thread #32] running on [1/28] CPUs
[1602809284.5503774]         [Thread #32]      Creating output directories...
[1602809284.5518937]         [Thread #32]      Translating reads...
[1602809303.813309]          [Thread #32]      Running DIAMOND...
[1602809309.7504702]         [Thread #32]      Converting DIAMOND...
[1602809309.8611803]         [Thread #32]      Parsing DIAMOND...
[1602809309.9919736]         [Thread #32]      Annotating...
[1602809310.1236238]         [Thread #32]      Analyzing...
[1602809310.428712]          [Thread #32]      Create read mapping...
[1602809325.5984704]         [Thread #32]    - [Thread #32] finished
[1602809306.0977113]         [Thread #33]    - [Thread #33] running on [1/28] CPUs
[1602809306.0977995]         [Thread #33]      Creating output directories...
[1602809306.1003041]         [Thread #33]      Translating reads...
[1602809325.5340216]         [Thread #33]      Running DIAMOND...
[1602809331.4624076]         [Thread #33]      Converting DIAMOND...
[1602809331.5590422]         [Thread #33]      Parsing DIAMOND...
[1602809331.693152]          [Thread #33]      Annotating...
[1602809332.0377464]         [Thread #33]      Analyzing...
[1602809332.332773]          [Thread #33]      Create read mapping...
[1602809347.001723]          [Thread #33]    - [Thread #33] finished
[1602809327.860622]          [Thread #34]    - [Thread #34] running on [1/28] CPUs
[1602809327.8607028]         [Thread #34]      Creating output directories...
[1602809327.8622713]         [Thread #34]      Translating reads...
[1602809346.993975]          [Thread #34]      Running DIAMOND...
[1602809352.814381]          [Thread #34]      Converting DIAMOND...
[1602809352.9296668]         [Thread #34]      Parsing DIAMOND...
[1602809353.0759408]         [Thread #34]      Annotating...
[1602809353.426648]          [Thread #34]      Analyzing...
[1602809353.7181542]         [Thread #34]      Create read mapping...
[1602809368.280176]          [Thread #34]    - [Thread #34] finished
[1602809349.307819]          [Thread #35]    - [Thread #35] running on [1/28] CPUs
[1602809349.3078995]         [Thread #35]      Creating output directories...
[1602809349.3093853]         [Thread #35]      Translating reads...
[1602809368.25151]           [Thread #35]      Running DIAMOND...
[1602809374.174958]          [Thread #35]      Converting DIAMOND...
[1602809374.2675583]         [Thread #35]      Parsing DIAMOND...
[1602809374.4143271]         [Thread #35]      Annotating...
[1602809374.5614388]         [Thread #35]      Analyzing...
[1602809374.8459916]         [Thread #35]      Create read mapping...
[1602809390.280606]          [Thread #35]    - [Thread #35] finished
[1602809370.596276]          [Thread #36]    - [Thread #36] running on [1/28] CPUs
