 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602771430.2746184]         [Thread #39]      Create read mapping...
[1602771444.9491117]         [Thread #39]    - [Thread #39] finished
[1602771426.1146185]         [Thread #40]    - [Thread #40] running on [1/28] CPUs
[1602771426.1147661]         [Thread #40]      Creating output directories...
[1602771426.1179836]         [Thread #40]      Translating reads...
[1602771444.910979]          [Thread #40]      Running DIAMOND...
[1602771450.984034]          [Thread #40]      Converting DIAMOND...
[1602771451.1031773]         [Thread #40]      Parsing DIAMOND...
[1602771451.529773]          [Thread #40]      Annotating...
[1602771451.7658405]         [Thread #40]      Analyzing...
[1602771452.0089107]         [Thread #40]      Create read mapping...
[1602771465.9185889]         [Thread #40]    - [Thread #40] finished
[1602771510.8495986]         [Thread #44]    - [Thread #44] running on [1/28] CPUs
[1602771510.8496401]         [Thread #44]      Creating output directories...
[1602771510.8534224]         [Thread #44]      Translating reads...
[1602771529.623264]          [Thread #44]      Running DIAMOND...
[1602771535.6325946]         [Thread #44]      Converting DIAMOND...
[1602771535.756781]          [Thread #44]      Parsing DIAMOND...
[1602771535.9400635]         [Thread #44]      Annotating...
[1602771536.2809515]         [Thread #44]      Analyzing...
[1602771536.3665202]         [Thread #44]      Create read mapping...
[1602771551.1953905]         [Thread #44]    - [Thread #44] finished
[1602771553.216383]          [Thread #46]    - [Thread #46] running on [1/28] CPUs
[1602771553.2164671]         [Thread #46]      Creating output directories...
[1602771553.2195163]         [Thread #46]      Translating reads...
[1602771572.3983386]         [Thread #46]      Running DIAMOND...
[1602771578.389173]          [Thread #46]      Converting DIAMOND...
[1602771578.4753087]         [Thread #46]      Parsing DIAMOND...
[1602771578.642222]          [Thread #46]      Annotating...
[1602771578.8134427]         [Thread #46]      Analyzing...
[1602771579.0342228]         [Thread #46]      Create read mapping...
[1602771592.412501]          [Thread #46]    - [Thread #46] finished
[1602771574.4939256]         [Thread #47]    - [Thread #47] running on [1/28] CPUs
[1602771574.4940062]         [Thread #47]      Creating output directories...
[1602771574.4969678]         [Thread #47]      Translating reads...
[1602771592.9031963]         [Thread #47]      Running DIAMOND...
[1602771599.0953784]         [Thread #47]      Converting DIAMOND...
[1602771599.2188785]         [Thread #47]      Parsing DIAMOND...
[1602771599.3659043]         [Thread #47]      Annotating...
[1602771599.5149808]         [Thread #47]      Analyzing...
[1602771599.8118825]         [Thread #47]      Create read mapping...
[1602771616.1749725]         [Thread #47]    - [Thread #47] finished
[1602771595.0304768]         [Thread #48]    - [Thread #48] running on [1/28] CPUs
[1602771595.030567]          [Thread #48]      Creating output directories...
[1602771595.033262]          [Thread #48]      Translating reads...
[1602771616.1635675]         [Thread #48]      Running DIAMOND...
[1602771622.2009127]         [Thread #48]      Converting DIAMOND...
[1602771622.3414302]         [Thread #48]      Parsing DIAMOND...
[1602771622.5148797]         [Thread #48]      Annotating...
[1602771622.7286267]         [Thread #48]      Analyzing...
[1602771622.8076105]         [Thread #48]      Create read mapping...
[1602771637.2477458]         [Thread #48]    - [Thread #48] finished
[1602771618.263813]          [Thread #49]    - [Thread #49] running on [1/28] CPUs
[1602771618.2638962]         [Thread #49]      Creating output directories...
[1602771618.2670913]         [Thread #49]      Translating reads...
[1602771637.1628728]         [Thread #49]      Running DIAMOND...
[1602771643.2223694]         [Thread #49]      Converting DIAMOND...
[1602771643.3347685]         [Thread #49]      Parsing DIAMOND...
[1602771643.535925]          [Thread #49]      Annotating...
[1602771643.6341426]         [Thread #49]      Analyzing...
[1602771643.8597507]         [Thread #49]      Create read mapping...
[1602771658.4698658]         [Thread #49]    - [Thread #49] finished
[1602771660.5822697]         [Thread #51]    - [Thread #51] running on [1/28] CPUs
[1602771660.58235]           [Thread #51]      Creating output directories...
[1602771660.5852897]         [Thread #51]      Translating reads...
[1602771679.80193]           [Thread #51]      Running DIAMOND...
[1602771685.8777645]         [Thread #51]      Converting DIAMOND...
[1602771685.9909353]         [Thread #51]      Parsing DIAMOND...
[1602771686.165805]          [Thread #51]      Annotating...
[1602771686.4199286]         [Thread #51]      Analyzing...
[1602771686.5308878]         [Thread #51]      Create read mapping...
[1602771698.5910122]         [Thread #51]    - [Thread #51] finished
[1602771681.9364033]         [Thread #52]    - [Thread #52] running on [1/28] CPUs
[1602771681.936445]          [Thread #52]      Creating output directories...
[1602771681.9394786]         [Thread #52]      Translating reads...
[1602771701.1792347]         [Thread #52]      Running DIAMOND...
[1602771707.2263386]         [Thread #52]      Converting DIAMOND...
[1602771707.3493996]         [Thread #52]      Parsing DIAMOND...
[1602771707.4950602]         [Thread #52]      Annotating...
