ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,576,0.1,0.001,(0.98, 0.9),104,75,0.01,512,0.3204537034034729
1,1,3,576,0.1,0.001,(0.98, 0.9),104,75,0.01,512,0.3204537034034729
1,1,4,1152,1.0,0.1,(0.98, 0.9),56,125,0.01,512,0.0038710939697921276
1,1,4,1152,1.0,0.1,(0.98, 0.9),56,125,0.01,512,0.0038710939697921276
1,1,3,1152,1.0,0.1,(0.9, 0.8),104,125,0.002,512,0.30983006954193115
1,1,3,1152,1.0,0.1,(0.9, 0.8),104,125,0.002,512,0.30983006954193115
1,1,4,576,1.0,0.001,(0.9, 0.8),128,75,0.01,512,0.25308844447135925
1,1,4,576,1.0,0.001,(0.9, 0.8),128,75,0.01,512,0.25308844447135925
1,1,3,1152,0.1,0.01,(0.9, 0.8),56,100,0.005,1024,0.2531508803367615
1,1,3,1152,0.1,0.01,(0.9, 0.8),56,100,0.005,1024,0.2531508803367615
1,1,4,576,0.1,0.001,(0.98, 0.9),104,75,0.005,1024,0.2856079638004303
1,1,4,576,0.1,0.001,(0.98, 0.9),104,75,0.005,1024,0.2856079638004303
1,1,3,576,0.1,0.001,(0.8, 0.7),56,75,0.002,512,0.30654194951057434
1,1,3,576,0.1,0.001,(0.8, 0.7),56,75,0.002,512,0.30654194951057434
1,1,3,1152,1.0,0.001,(0.98, 0.9),56,100,0.01,512,0.25319287180900574
1,1,3,1152,1.0,0.001,(0.98, 0.9),56,100,0.01,512,0.25319287180900574
1,1,3,576,1.0,0.01,(0.8, 0.7),56,125,0.01,512,0.2861665189266205
1,1,3,576,1.0,0.01,(0.8, 0.7),56,125,0.01,512,0.2861665189266205
1,1,3,576,0.1,0.001,(0.8, 0.7),104,100,0.002,1024,0.298277348279953
1,1,3,576,0.1,0.001,(0.8, 0.7),104,100,0.002,1024,0.298277348279953
1,1,2,1152,0.1,0.001,(0.98, 0.9),104,125,0.01,512,0.31434229016304016
1,1,2,1152,0.1,0.001,(0.98, 0.9),104,125,0.01,512,0.31434229016304016
1,1,4,1152,1.0,0.001,(0.98, 0.9),128,125,0.01,1024,0.25358498096466064
1,1,4,1152,1.0,0.001,(0.98, 0.9),128,125,0.01,1024,0.25358498096466064
1,1,4,1152,1.0,0.01,(0.8, 0.7),128,75,0.01,1024,0.25309497117996216
1,1,4,1152,1.0,0.01,(0.8, 0.7),128,75,0.01,1024,0.25309497117996216
1,1,3,576,1.0,0.001,(0.9, 0.8),104,75,0.002,512,0.3179572522640228
