ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,2,1152,1.0,0.01,(0.9, 0.8),104,125,0.005,1024,0.3122519850730896
1,1,2,1152,0.1,0.01,(0.98, 0.9),128,75,0.005,512,0.34877824783325195
1,1,3,1152,1.0,0.01,(0.98, 0.9),128,100,0.005,1024,0.20919334888458252
1,1,3,1152,0.1,0.01,(0.8, 0.7),128,100,0.01,512,0.20722439885139465
1,1,4,1152,0.1,0.01,(0.98, 0.9),104,100,0.005,1024,0.22092969715595245
1,1,2,576,0.1,0.001,(0.9, 0.8),128,100,0.005,512,0.3470073938369751
1,1,3,576,0.1,0.1,(0.9, 0.8),56,100,0.005,512,0.33613497018814087
1,1,2,1152,0.1,0.001,(0.98, 0.9),128,100,0.01,1024,0.311160147190094
1,1,3,1152,0.1,0.01,(0.98, 0.9),56,75,0.002,1024,0.30716797709465027
1,1,4,576,0.1,0.1,(0.98, 0.9),128,100,0.002,512,0.31041231751441956
1,1,4,1152,0.1,0.001,(0.8, 0.7),104,125,0.005,512,0.20733705163002014
1,1,4,576,1.0,0.01,(0.98, 0.9),56,125,0.002,512,0.3073951303958893
1,1,2,1152,1.0,0.01,(0.8, 0.7),104,125,0.01,512,0.23780134320259094
1,1,4,576,0.1,0.01,(0.8, 0.7),128,75,0.01,512,0.20931857824325562
1,1,3,576,0.1,0.1,(0.8, 0.7),128,75,0.002,1024,0.3095073997974396
1,1,4,576,0.1,0.01,(0.9, 0.8),128,75,0.01,1024,0.20743274688720703
1,1,4,576,1.0,0.1,(0.8, 0.7),104,75,0.01,1024,0.20743055641651154
1,1,4,1152,1.0,0.01,(0.9, 0.8),128,75,0.01,1024,0.20743274688720703
1,1,4,1152,0.1,0.1,(0.98, 0.9),128,125,0.002,1024,0.288875013589859
1,1,3,1152,0.1,0.1,(0.9, 0.8),128,75,0.005,512,0.3495117425918579
1,1,4,1152,1.0,0.001,(0.8, 0.7),128,100,0.01,1024,0.20737305283546448
1,1,4,576,1.0,0.01,(0.98, 0.9),56,75,0.01,1024,0.2092469483613968
1,1,3,576,0.1,0.01,(0.8, 0.7),128,100,0.005,1024,0.310496062040329
1,1,4,1152,1.0,0.01,(0.9, 0.8),56,125,0.002,512,0.20733705163002014
1,1,4,576,1.0,0.01,(0.9, 0.8),104,75,0.005,512,0.30367186665534973
1,1,4,1152,0.1,0.001,(0.8, 0.7),56,100,0.01,512,0.20929904282093048
1,1,2,1152,1.0,0.1,(0.98, 0.9),128,100,0.005,1024,0.317990243434906
1,1,2,1152,1.0,0.1,(0.98, 0.9),128,125,0.01,512,0.3266986906528473
1,1,3,576,1.0,0.01,(0.9, 0.8),56,100,0.002,512,0.3126779794692993
1,1,3,1152,1.0,0.01,(0.98, 0.9),128,100,0.01,512,0.2692599892616272
1,1,4,576,0.1,0.001,(0.98, 0.9),128,100,0.002,512,0.32024306058883667
1,1,4,1152,0.1,0.1,(0.98, 0.9),104,75,0.005,1024,0.2092534750699997
1,1,2,1152,0.1,0.01,(0.98, 0.9),104,100,0.002,1024,0.31061914563179016
1,1,4,576,0.1,0.1,(0.98, 0.9),104,75,0.01,1024,0.2677213251590729
1,1,3,576,1.0,0.01,(0.98, 0.9),128,75,0.01,1024,0.3103233575820923
1,1,3,576,0.1,0.001,(0.8, 0.7),56,125,0.005,1024,0.2835937440395355
1,1,4,1152,1.0,0.1,(0.8, 0.7),56,75,0.005,512,0.20722438395023346
1,1,3,1152,1.0,0.1,(0.9, 0.8),104,125,0.005,512,0.34300002455711365
1,1,3,576,0.1,0.1,(0.8, 0.7),104,100,0.01,512,0.20722439885139465
1,1,4,576,1.0,0.01,(0.9, 0.8),104,100,0.005,512,0.20932942628860474
1,1,2,576,0.1,0.001,(0.9, 0.8),128,100,0.01,1024,0.3273613154888153
1,1,3,1152,1.0,0.1,(0.9, 0.8),128,125,0.005,512,0.2073504477739334
1,1,2,1152,1.0,0.1,(0.98, 0.9),56,100,0.002,512,0.31133463978767395
1,1,3,576,1.0,0.01,(0.9, 0.8),56,100,0.002,1024,0.29734960198402405
1,1,3,576,1.0,0.001,(0.8, 0.7),104,125,0.01,512,0.3164442181587219
1,1,4,1152,0.1,0.1,(0.9, 0.8),104,75,0.005,1024,0.2092534750699997
1,1,3,576,0.1,0.001,(0.8, 0.7),56,100,0.005,512,0.22392360866069794
1,1,3,1152,1.0,0.001,(0.98, 0.9),56,125,0.01,512,0.2365557998418808
1,1,2,576,1.0,0.1,(0.8, 0.7),104,100,0.005,1024,0.3116503953933716
1,1,4,576,1.0,0.1,(0.9, 0.8),128,75,0.005,512,0.3431532382965088
1,1,4,576,1.0,0.001,(0.9, 0.8),128,75,0.002,1024,0.2991059124469757
1,1,3,576,0.1,0.1,(0.9, 0.8),56,75,0.005,512,0.3479318618774414
1,1,3,576,1.0,0.001,(0.8, 0.7),128,125,0.005,512,0.3352746069431305
1,1,3,1152,1.0,0.1,(0.98, 0.9),56,75,0.002,1024,0.30435118079185486
1,1,3,1152,1.0,0.001,(0.9, 0.8),104,75,0.01,512,0.20710937678813934
1,1,4,576,1.0,0.001,(0.98, 0.9),56,125,0.002,512,0.3049955368041992
1,1,3,576,1.0,0.1,(0.8, 0.7),56,75,0.002,512,0.3221180737018585
1,1,4,1152,0.1,0.001,(0.9, 0.8),104,100,0.01,1024,0.2073691338300705
1,1,3,576,0.1,0.001,(0.98, 0.9),104,75,0.01,1024,0.3376779556274414
1,1,2,576,1.0,0.1,(0.8, 0.7),56,75,0.01,1024,0.3266145884990692
1,1,2,576,0.1,0.001,(0.98, 0.9),128,125,0.005,512,0.3361227810382843
1,1,3,1152,1.0,0.1,(0.9, 0.8),104,125,0.005,512,0.33668532967567444
1,1,3,1152,1.0,0.001,(0.98, 0.9),128,100,0.01,1024,0.27274999022483826
1,1,2,576,1.0,0.001,(0.98, 0.9),104,100,0.005,512,0.3372005224227905
1,1,4,576,0.1,0.01,(0.9, 0.8),104,75,0.002,512,0.345531702041626
1,1,3,1152,0.1,0.01,(0.98, 0.9),128,125,0.01,1024,0.20753321051597595
1,1,3,1152,0.1,0.01,(0.98, 0.9),56,100,0.002,1024,0.235169917345047
1,1,4,576,0.1,0.001,(0.98, 0.9),128,100,0.005,1024,0.2073691338300705
1,1,4,1152,1.0,0.01,(0.9, 0.8),128,75,0.002,512,0.2093706578016281
1,1,3,576,0.1,0.1,(0.9, 0.8),56,100,0.01,1024,0.28584176301956177
1,1,3,1152,0.1,0.01,(0.9, 0.8),128,100,0.005,512,0.3483680486679077
1,1,4,576,1.0,0.001,(0.98, 0.9),104,125,0.005,512,0.30411383509635925
1,1,3,576,1.0,0.1,(0.8, 0.7),104,75,0.002,1024,0.30916884541511536
1,1,4,576,0.1,0.001,(0.9, 0.8),104,100,0.005,512,0.20722657442092896
1,1,4,576,0.1,0.1,(0.98, 0.9),104,100,0.005,1024,0.20923633873462677
1,1,3,1152,0.1,0.001,(0.98, 0.9),56,100,0.002,512,0.31520184874534607
1,1,4,576,0.1,0.1,(0.98, 0.9),56,100,0.002,1024,0.3005136549472809
1,1,4,1152,0.1,0.01,(0.9, 0.8),128,125,0.005,1024,0.2073691487312317
1,1,3,576,1.0,0.1,(0.98, 0.9),56,125,0.01,512,0.32921430468559265
1,1,3,1152,1.0,0.001,(0.9, 0.8),56,75,0.01,512,0.33628037571907043
1,1,2,1152,0.1,0.1,(0.8, 0.7),56,100,0.002,1024,0.30623242259025574
1,1,4,576,1.0,0.1,(0.8, 0.7),128,100,0.005,1024,0.2073632776737213
1,1,3,1152,0.1,0.01,(0.9, 0.8),56,75,0.002,1024,0.3070638179779053
1,1,2,1152,0.1,0.01,(0.98, 0.9),128,75,0.002,512,0.34758469462394714
1,1,4,576,1.0,0.001,(0.8, 0.7),56,75,0.002,512,0.3147678077220917
1,1,4,1152,0.1,0.001,(0.9, 0.8),104,125,0.005,512,0.2637835144996643
1,1,4,576,1.0,0.1,(0.8, 0.7),104,100,0.01,1024,0.20916016399860382
1,1,4,1152,1.0,0.001,(0.8, 0.7),128,75,0.002,512,0.2093077301979065
1,1,2,576,0.1,0.001,(0.8, 0.7),104,125,0.002,512,0.3140402138233185
1,1,2,576,0.1,0.1,(0.98, 0.9),104,125,0.005,1024,0.30598437786102295
1,1,4,1152,0.1,0.001,(0.9, 0.8),128,75,0.005,1024,0.20743274688720703
1,1,2,1152,1.0,0.01,(0.9, 0.8),128,125,0.002,512,0.3151741027832031
1,1,2,576,1.0,0.1,(0.8, 0.7),56,100,0.01,512,0.33282768726348877
1,1,4,1152,1.0,0.001,(0.8, 0.7),104,125,0.002,1024,0.30079489946365356
1,1,2,1152,1.0,0.01,(0.8, 0.7),56,100,0.01,1024,0.3051132559776306
1,1,3,576,0.1,0.1,(0.98, 0.9),104,100,0.002,1024,0.3067362904548645
1,1,3,1152,1.0,0.001,(0.9, 0.8),104,75,0.01,1024,0.26656031608581543
1,1,3,1152,0.1,0.1,(0.98, 0.9),104,75,0.002,512,0.3480338752269745
1,1,4,576,0.1,0.1,(0.9, 0.8),104,125,0.01,512,0.20733705163002014
1,1,3,576,0.1,0.01,(0.8, 0.7),56,125,0.01,512,0.20928573608398438
1,1,4,1152,1.0,0.1,(0.8, 0.7),56,125,0.005,512,0.2073415219783783
1,1,3,1152,0.1,0.001,(0.9, 0.8),128,125,0.005,1024,0.2410000115633011
1,1,3,576,0.1,0.001,(0.9, 0.8),56,100,0.002,512,0.31224390864372253
1,1,2,576,0.1,0.01,(0.98, 0.9),56,75,0.01,1024,0.3141167461872101
1,1,2,576,0.1,0.01,(0.9, 0.8),104,125,0.002,512,0.32089510560035706
1,1,4,1152,0.1,0.001,(0.98, 0.9),128,75,0.002,512,0.21789278090000153
1,1,4,1152,1.0,0.001,(0.8, 0.7),128,75,0.01,1024,0.20742405951023102
1,1,3,576,1.0,0.1,(0.9, 0.8),56,125,0.01,1024,0.20750978589057922
1,1,2,1152,0.1,0.01,(0.98, 0.9),56,100,0.005,1024,0.310734361410141
1,1,3,1152,0.1,0.1,(0.8, 0.7),56,75,0.002,512,0.20722438395023346
