ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25245457887649536
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25245457887649536
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.3273039162158966
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.3273039162158966
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3458764851093292
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3458764851093292
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2561582028865814
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2561582028865814
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25264573097229004
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25264573097229004
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3457064926624298
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3457064926624298
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3258953094482422
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.3258953094482422
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3310175836086273
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3310175836086273
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.33867892622947693
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.33867892622947693
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.25240832567214966
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.25240832567214966
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3314273953437805
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.3314273953437805
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.3159096837043762
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.3159096837043762
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2524184584617615
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2524184584617615
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25251781940460205
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25251781940460205
