,t-SNE1,t-SNE2,metaseek_env_package
316,-4.1966333,2.3842108,host-associated
317,-0.6395745,9.391066,host-associated
318,-6.536414,-6.6426077,host-associated
319,8.032485,-5.839161,host-associated
320,-3.9758668,5.307117,host-associated
321,3.0024824,0.17101179,host-associated
322,-2.7430294,-5.525346,host-associated
323,-4.1201525,4.382843,host-associated
324,0.034750517,2.4070268,host-associated
325,-0.7981073,8.193311,host-associated
326,-0.7211665,9.174923,host-associated
327,-0.72607005,8.004018,host-associated
328,-1.5466189,10.373038,host-associated
329,0.06390742,-0.5869608,host-associated
330,-1.5939437,-5.247481,host-associated
331,-0.99375445,6.6417336,host-associated
332,5.3284016,-5.1439376,host-associated
333,-4.4558587,9.386465,host-associated
334,-1.3002748,9.792697,host-associated
335,-5.4190626,-6.3652406,host-associated
336,3.5365024,-5.04181,host-associated
337,-0.679695,7.8947253,host-associated
338,-1.5189061,10.235841,host-associated
339,-5.416236,-7.227489,host-associated
340,-0.437618,7.664626,host-associated
341,-4.5811534,5.295959,host-associated
342,-0.8791745,9.253112,host-associated
343,-1.5019474,9.140784,host-associated
344,-6.6292315,-1.3838048,host-associated
345,-3.8262696,8.36928,host-associated
346,-3.5055928,8.148157,host-associated
347,-6.48534,-7.264272,host-associated
348,-0.8362095,9.431278,host-associated
349,2.4843347,0.45678934,host-associated
350,-4.583142,4.9026294,host-associated
351,3.9966283,-1.2402642,host-associated
352,-5.1545,4.306582,host-associated
353,-4.061364,7.977495,host-associated
354,-2.4038315,-6.5332274,host-associated
355,-1.2557881,9.823872,host-associated
356,-5.453541,-6.6768174,host-associated
357,-2.033762,9.976072,host-associated
358,0.2566732,1.654493,host-associated
359,2.2728786,1.1339289,host-associated
360,6.463384,-6.3514423,host-associated
361,-0.67467463,8.774889,host-associated
362,-0.7100426,2.7181933,host-associated
363,7.7551217,5.254554,host-associated
364,-0.98150486,8.544185,host-associated
365,-1.1143541,7.9591303,host-associated
366,-5.1250086,4.623657,host-associated
367,-4.941936,4.6536407,host-associated
368,0.09244948,0.3042508,host-associated
369,-1.3225514,9.70138,host-associated
370,-0.7152163,7.7033124,host-associated
371,3.8351972,-0.3489319,host-associated
372,-1.6605542,7.5815806,host-associated
373,-1.32897,9.94143,host-associated
374,-7.0616517,-6.986935,host-associated
375,1.2832454,1.6346982,host-associated
376,-5.1407714,4.495237,host-associated
377,-4.424079,9.40077,host-associated
378,-6.627241,-7.00916,host-associated
379,-6.3049183,-6.5150404,host-associated
380,-3.585262,5.4445376,host-associated
381,-2.6778967,-7.45507,host-associated
382,-0.65781486,7.9549985,host-associated
383,-5.084687,8.713874,host-associated
384,5.6555033,-5.4730473,host-associated
385,-1.6918387,1.8911626,host-associated
386,-3.8113873,8.143181,host-associated
387,-4.934211,5.2133617,host-associated
388,0.07554673,1.1851313,host-associated
389,-1.5731356,-8.630098,host-associated
390,7.563613,-5.267303,host-associated
391,-3.9225867,8.0964365,host-associated
392,-4.7967644,4.9698925,host-associated
393,-4.6742263,9.8055105,host-associated
394,-3.8290868,-5.8762064,host-associated
395,6.6133547,-6.308398,host-associated
396,5.6012063,-5.892521,host-associated
397,-4.9853077,4.5883307,host-associated
398,7.975005,-5.900828,host-associated
