ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,4,1152,0.1,0.0001,"(0.98, 0.9)",104,100,0.002,1024,0.2524915635585785
1,1,2,576,0.1,0.1,"(0.9, 0.8)",128,100,0.002,512,0.35387369990348816
1,1,3,576,1.0,0.0001,"(0.8, 0.7)",104,125,0.002,1024,0.3201932907104492
1,1,3,1152,1.0,0.001,"(0.9, 0.8)",56,125,0.005,1024,0.2545412480831146
1,1,2,576,1.0,0.0001,"(0.8, 0.7)",104,125,0.01,1024,0.3434145748615265
1,1,3,576,1.0,0.0001,"(0.9, 0.8)",128,125,0.005,1024,0.2653709352016449
1,1,4,1152,0.1,0.0001,"(0.8, 0.7)",56,125,0.002,1024,0.14604079723358154
1,1,4,576,0.1,0.0001,"(0.8, 0.7)",56,150,0.002,512,0.2424231469631195
1,1,4,576,0.1,0.1,"(0.9, 0.8)",56,100,0.002,1024,0.30696702003479004
1,1,3,1152,0.1,0.001,"(0.9, 0.8)",56,100,0.005,1024,0.3205067217350006
1,1,4,1152,1.0,0.0001,"(0.98, 0.9)",128,125,0.002,512,0.3292264044284821
1,1,2,1152,1.0,0.01,"(0.98, 0.9)",104,125,0.01,512,0.3537561297416687
1,1,4,576,1.0,0.001,"(0.8, 0.7)",104,125,0.01,512,0.2524032890796661
1,1,2,1152,1.0,0.01,"(0.8, 0.7)",56,125,0.005,1024,0.338045209646225
1,1,4,1152,1.0,0.001,"(0.9, 0.8)",128,125,0.01,512,0.2708874046802521
1,1,2,1152,0.1,0.01,"(0.8, 0.7)",104,100,0.01,512,0.3585006892681122
1,1,3,1152,0.1,0.0001,"(0.98, 0.9)",56,150,0.002,512,0.3421695828437805
1,1,4,576,0.1,0.01,"(0.98, 0.9)",104,100,0.01,512,0.2974313795566559
1,1,2,1152,0.1,0.01,"(0.98, 0.9)",128,150,0.01,512,0.3543349802494049
1,1,3,576,1.0,0.0001,"(0.9, 0.8)",104,150,0.005,1024,0.31664493680000305
1,1,3,576,0.1,0.01,"(0.8, 0.7)",104,125,0.005,512,0.350252240896225
1,1,3,576,0.1,0.001,"(0.8, 0.7)",128,150,0.002,1024,0.31558409333229065
1,1,3,576,0.1,0.0001,"(0.98, 0.9)",56,125,0.01,512,0.3578583598136902
1,1,3,576,0.1,0.01,"(0.8, 0.7)",128,125,0.002,1024,0.31693536043167114
1,1,3,576,1.0,0.01,"(0.9, 0.8)",56,100,0.01,512,0.3565463423728943
1,1,3,576,1.0,0.1,"(0.8, 0.7)",128,125,0.005,512,0.3530148565769196
1,1,2,576,1.0,0.001,"(0.9, 0.8)",104,100,0.005,1024,0.34561097621917725
1,1,2,1152,1.0,0.001,"(0.8, 0.7)",128,150,0.002,1024,0.33259159326553345
1,1,2,1152,0.1,0.001,"(0.8, 0.7)",56,150,0.005,1024,0.3153616487979889
1,1,4,576,0.1,0.0001,"(0.98, 0.9)",56,125,0.01,1024,0.2524018883705139
1,1,4,576,0.1,0.001,"(0.9, 0.8)",104,125,0.005,1024,0.2524018883705139
1,1,2,1152,1.0,0.01,"(0.98, 0.9)",104,150,0.005,512,0.34923672676086426
1,1,2,576,0.1,0.1,"(0.8, 0.7)",128,150,0.01,512,0.35439160466194153
1,1,4,576,1.0,0.001,"(0.9, 0.8)",56,100,0.002,1024,0.29866817593574524
1,1,4,1152,1.0,0.0001,"(0.98, 0.9)",128,100,0.005,1024,0.2527693212032318
1,1,3,576,0.1,0.01,"(0.9, 0.8)",128,150,0.002,512,0.34714704751968384
1,1,2,1152,0.1,0.0001,"(0.9, 0.8)",104,100,0.005,1024,0.33478596806526184
1,1,3,576,1.0,0.0001,"(0.98, 0.9)",128,100,0.005,1024,0.34248945116996765
1,1,4,576,0.1,0.001,"(0.8, 0.7)",56,125,0.002,512,0.3124416172504425
1,1,2,1152,0.1,0.1,"(0.9, 0.8)",128,150,0.01,512,0.3552015423774719
1,1,2,1152,1.0,0.01,"(0.98, 0.9)",56,100,0.01,512,0.3560309410095215
1,1,3,576,0.1,0.01,"(0.9, 0.8)",56,150,0.005,1024,0.3074371814727783
1,1,2,576,1.0,0.01,"(0.98, 0.9)",104,100,0.01,512,0.356621652841568
1,1,3,576,0.1,0.0001,"(0.98, 0.9)",128,125,0.005,512,0.3563151657581329
1,1,2,1152,1.0,0.1,"(0.98, 0.9)",56,100,0.002,1024,0.3287263512611389
1,1,3,576,1.0,0.001,"(0.98, 0.9)",56,100,0.002,1024,0.31668901443481445
1,1,4,1152,1.0,0.1,"(0.9, 0.8)",104,100,0.01,1024,0.2524871826171875
1,1,4,1152,1.0,0.1,"(0.98, 0.9)",104,125,0.002,512,0.2676542401313782
1,1,3,1152,0.1,0.001,"(0.98, 0.9)",56,100,0.01,512,0.2524360120296478
1,1,3,1152,0.1,0.0001,"(0.98, 0.9)",56,150,0.005,1024,0.32166433334350586
1,1,2,1152,0.1,0.01,"(0.98, 0.9)",128,100,0.002,512,0.35426661372184753
1,1,3,576,1.0,0.0001,"(0.98, 0.9)",56,100,0.01,1024,0.33896544575691223
1,1,4,1152,1.0,0.0001,"(0.98, 0.9)",128,125,0.01,512,0.2523867189884186
1,1,4,576,0.1,0.01,"(0.9, 0.8)",128,125,0.005,512,0.2525392770767212
1,1,2,1152,1.0,0.1,"(0.98, 0.9)",56,125,0.01,1024,0.3382075130939484
1,1,4,576,1.0,0.0001,"(0.8, 0.7)",128,150,0.01,1024,0.2525451183319092
1,1,3,576,1.0,0.0001,"(0.8, 0.7)",128,100,0.002,1024,0.3234425783157349
1,1,4,576,0.1,0.1,"(0.9, 0.8)",128,150,0.002,1024,0.2525455951690674
1,1,4,1152,1.0,0.1,"(0.9, 0.8)",56,125,0.01,1024,0.25251638889312744
1,1,4,576,1.0,0.1,"(0.9, 0.8)",56,125,0.002,1024,0.2958020269870758
1,1,3,576,1.0,0.001,"(0.9, 0.8)",128,150,0.01,1024,0.3242388665676117
1,1,2,576,1.0,0.0001,"(0.8, 0.7)",56,125,0.002,1024,0.32637688517570496
1,1,2,576,0.1,0.001,"(0.9, 0.8)",128,150,0.002,1024,0.3311331272125244
1,1,3,1152,1.0,0.01,"(0.98, 0.9)",104,150,0.005,512,0.34840893745422363
