 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775644.3136005]         [Thread #30]      Annotating...
[1602775644.6814451]         [Thread #30]      Analyzing...
[1602775644.9700487]         [Thread #30]      Create read mapping...
[1602775660.1071515]         [Thread #30]    - [Thread #30] finished
[1602775640.2501378]         [Thread #31]    - [Thread #31] running on [1/28] CPUs
[1602775640.2502344]         [Thread #31]      Creating output directories...
[1602775640.2523577]         [Thread #31]      Translating reads...
[1602775660.0042377]         [Thread #31]      Running DIAMOND...
[1602775665.9309297]         [Thread #31]      Converting DIAMOND...
[1602775666.0857775]         [Thread #31]      Parsing DIAMOND...
[1602775666.2489295]         [Thread #31]      Annotating...
[1602775666.512553]          [Thread #31]      Analyzing...
[1602775666.744379]          [Thread #31]      Create read mapping...
[1602775680.2203224]         [Thread #31]    - [Thread #31] finished
[1602775662.1891906]         [Thread #32]    - [Thread #32] running on [1/28] CPUs
[1602775662.1892712]         [Thread #32]      Creating output directories...
[1602775662.1907809]         [Thread #32]      Translating reads...
[1602775681.200385]          [Thread #32]      Running DIAMOND...
[1602775687.002046]          [Thread #32]      Converting DIAMOND...
[1602775687.1150627]         [Thread #32]      Parsing DIAMOND...
[1602775687.2579808]         [Thread #32]      Annotating...
[1602775687.4930859]         [Thread #32]      Analyzing...
[1602775687.731372]          [Thread #32]      Create read mapping...
[1602775703.348612]          [Thread #32]    - [Thread #32] finished
[1602775683.2894208]         [Thread #33]    - [Thread #33] running on [1/28] CPUs
[1602775683.2895062]         [Thread #33]      Creating output directories...
[1602775683.2910874]         [Thread #33]      Translating reads...
[1602775703.3365352]         [Thread #33]      Running DIAMOND...
[1602775709.152864]          [Thread #33]      Converting DIAMOND...
[1602775709.2600749]         [Thread #33]      Parsing DIAMOND...
[1602775709.522486]          [Thread #33]      Annotating...
[1602775709.7921028]         [Thread #33]      Analyzing...
[1602775710.1845987]         [Thread #33]      Create read mapping...
[1602775725.8859806]         [Thread #33]    - [Thread #33] finished
[1602775705.4269958]         [Thread #34]    - [Thread #34] running on [1/28] CPUs
[1602775705.427079]          [Thread #34]      Creating output directories...
[1602775705.608732]          [Thread #34]      Translating reads...
[1602775725.849556]          [Thread #34]      Running DIAMOND...
[1602775731.8229792]         [Thread #34]      Converting DIAMOND...
