 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775983.5799198]         [Thread #36]      Parsing DIAMOND...
[1602775983.7447212]         [Thread #36]      Annotating...
[1602775984.0960205]         [Thread #36]      Analyzing...
[1602775984.3017967]         [Thread #36]      Create read mapping...
[1602776000.2838213]         [Thread #36]    - [Thread #36] finished
[1602775979.4415867]         [Thread #37]    - [Thread #37] running on [1/28] CPUs
[1602775979.4416695]         [Thread #37]      Creating output directories...
[1602775980.3211882]         [Thread #37]      Translating reads...
[1602776000.2620099]         [Thread #37]      Running DIAMOND...
[1602776006.0547159]         [Thread #37]      Converting DIAMOND...
[1602776006.1805723]         [Thread #37]      Parsing DIAMOND...
[1602776006.3526423]         [Thread #37]      Annotating...
[1602776006.7370145]         [Thread #37]      Analyzing...
[1602776007.061347]          [Thread #37]      Create read mapping...
[1602776022.5760167]         [Thread #37]    - [Thread #37] finished
[1602776001.729933]          [Thread #38]    - [Thread #38] running on [1/28] CPUs
[1602776001.7299924]         [Thread #38]      Creating output directories...
[1602776002.6245956]         [Thread #38]      Translating reads...
[1602776022.760756]          [Thread #38]      Running DIAMOND...
[1602776028.5128365]         [Thread #38]      Converting DIAMOND...
[1602776028.6531403]         [Thread #38]      Parsing DIAMOND...
[1602776028.8116179]         [Thread #38]      Annotating...
[1602776029.2431777]         [Thread #38]      Analyzing...
[1602776029.5529878]         [Thread #38]      Create read mapping...
[1602776045.6345322]         [Thread #38]    - [Thread #38] finished
[1602776024.205003]          [Thread #39]    - [Thread #39] running on [1/28] CPUs
[1602776024.2050936]         [Thread #39]      Creating output directories...
[1602776025.0618248]         [Thread #39]      Translating reads...
[1602776045.8935163]         [Thread #39]      Running DIAMOND...
[1602776051.6035235]         [Thread #39]      Converting DIAMOND...
[1602776051.8175988]         [Thread #39]      Parsing DIAMOND...
[1602776051.9958875]         [Thread #39]      Annotating...
[1602776052.2108736]         [Thread #39]      Analyzing...
[1602776052.4272614]         [Thread #39]      Create read mapping...
[1602776067.8128822]         [Thread #39]    - [Thread #39] finished
[1602776047.5365682]         [Thread #40]    - [Thread #40] running on [1/28] CPUs
[1602776047.5366533]         [Thread #40]      Creating output directories...
[1602776048.5113347]         [Thread #40]      Translating reads...
[1602776067.8074126]         [Thread #40]      Running DIAMOND...
[1602776073.5537643]         [Thread #40]      Converting DIAMOND...
[1602776073.6903682]         [Thread #40]      Parsing DIAMOND...
[1602776074.0968153]         [Thread #40]      Annotating...
[1602776074.338819]          [Thread #40]      Analyzing...
[1602776074.635471]          [Thread #40]      Create read mapping...
[1602776090.1787474]         [Thread #40]    - [Thread #40] finished
[1602776069.2520943]         [Thread #41]    - [Thread #41] running on [1/28] CPUs
[1602776069.252177]          [Thread #41]      Creating output directories...
[1602776070.1004755]         [Thread #41]      Translating reads...
[1602776090.1103477]         [Thread #41]      Running DIAMOND...
[1602776095.919602]          [Thread #41]      Converting DIAMOND...
[1602776096.0378501]         [Thread #41]      Parsing DIAMOND...
[1602776096.2003696]         [Thread #41]      Annotating...
[1602776096.6087604]         [Thread #41]      Analyzing...
[1602776096.9383633]         [Thread #41]      Create read mapping...
[1602776112.2870672]         [Thread #41]    - [Thread #41] finished
[1602776091.7559478]         [Thread #42]    - [Thread #42] running on [1/28] CPUs
[1602776091.756032]          [Thread #42]      Creating output directories...
[1602776092.5458357]         [Thread #42]      Translating reads...
[1602776113.2338915]         [Thread #42]      Running DIAMOND...
