 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602771544.149551]          [Thread #40]    - [Thread #40] finished
[1602771525.116842]          [Thread #41]    - [Thread #41] running on [1/28] CPUs
[1602771525.1169286]         [Thread #41]      Creating output directories...
[1602771525.118458]          [Thread #41]      Translating reads...
[1602771544.0733204]         [Thread #41]      Running DIAMOND...
[1602771549.8834605]         [Thread #41]      Converting DIAMOND...
[1602771550.0168788]         [Thread #41]      Parsing DIAMOND...
[1602771550.148729]          [Thread #41]      Annotating...
[1602771550.3560038]         [Thread #41]      Analyzing...
[1602771550.6454525]         [Thread #41]      Create read mapping...
[1602771566.1658618]         [Thread #41]    - [Thread #41] finished
[1602771546.3455884]         [Thread #42]    - [Thread #42] running on [1/28] CPUs
[1602771546.3456724]         [Thread #42]      Creating output directories...
[1602771546.3478363]         [Thread #42]      Translating reads...
[1602771566.09436]           [Thread #42]      Running DIAMOND...
[1602771571.7284498]         [Thread #42]      Converting DIAMOND...
[1602771571.8264313]         [Thread #42]      Parsing DIAMOND...
[1602771572.2283764]         [Thread #42]      Annotating...
[1602771572.475037]          [Thread #42]      Analyzing...
[1602771572.6947734]         [Thread #42]      Create read mapping...
[1602771588.1546862]         [Thread #42]    - [Thread #42] finished
[1602771633.1223755]         [Thread #46]    - [Thread #46] running on [1/28] CPUs
[1602771633.1224563]         [Thread #46]      Creating output directories...
[1602771633.124122]          [Thread #46]      Translating reads...
[1602771652.617354]          [Thread #46]      Running DIAMOND...
[1602771658.3164377]         [Thread #46]      Converting DIAMOND...
[1602771658.4506865]         [Thread #46]      Parsing DIAMOND...
[1602771658.6080258]         [Thread #46]      Annotating...
[1602771658.8458438]         [Thread #46]      Analyzing...
[1602771659.1735783]         [Thread #46]      Create read mapping...
[1602771674.5439923]         [Thread #46]    - [Thread #46] finished
[1602771654.875515]          [Thread #47]    - [Thread #47] running on [1/28] CPUs
[1602771654.875586]          [Thread #47]      Creating output directories...
[1602771654.8769886]         [Thread #47]      Translating reads...
[1602771674.24058]           [Thread #47]      Running DIAMOND...
[1602771680.0002077]         [Thread #47]      Converting DIAMOND...
[1602771680.106314]          [Thread #47]      Parsing DIAMOND...
[1602771680.2887716]         [Thread #47]      Annotating...
[1602771680.6901352]         [Thread #47]      Analyzing...
[1602771681.0011199]         [Thread #47]      Create read mapping...
[1602771696.3844266]         [Thread #47]    - [Thread #47] finished
[1602771698.5274332]         [Thread #49]    - [Thread #49] running on [1/28] CPUs
[1602771698.5275166]         [Thread #49]      Creating output directories...
[1602771698.52906]           [Thread #49]      Translating reads...
[1602771718.1304734]         [Thread #49]      Running DIAMOND...
[1602771723.8681986]         [Thread #49]      Converting DIAMOND...
[1602771723.9756496]         [Thread #49]      Parsing DIAMOND...
[1602771724.1236145]         [Thread #49]      Annotating...
[1602771724.2906516]         [Thread #49]      Analyzing...
[1602771724.6249]            [Thread #49]      Create read mapping...
[1602771737.1475267]         [Thread #49]    - [Thread #49] finished
[1602771720.3557284]         [Thread #50]    - [Thread #50] running on [1/28] CPUs
[1602771720.3558147]         [Thread #50]      Creating output directories...
[1602771720.357488]          [Thread #50]      Translating reads...
[1602771740.5394797]         [Thread #50]      Running DIAMOND...
[1602771746.1505022]         [Thread #50]      Converting DIAMOND...
[1602771746.281884]          [Thread #50]      Parsing DIAMOND...
[1602771746.6149948]         [Thread #50]      Annotating...
[1602771747.1578765]         [Thread #50]      Analyzing...
[1602771747.49579]           [Thread #50]      Create read mapping...
[1602771762.5228226]         [Thread #50]    - [Thread #50] finished
[1602771764.696861]          [Thread #52]    - [Thread #52] running on [1/28] CPUs
[1602771764.6969488]         [Thread #52]      Creating output directories...
[1602771764.6985247]         [Thread #52]      Translating reads...
[1602771783.3238459]         [Thread #52]      Running DIAMOND...
[1602771789.1657696]         [Thread #52]      Converting DIAMOND...
[1602771789.285853]          [Thread #52]      Parsing DIAMOND...
[1602771789.8483307]         [Thread #52]      Annotating...
[1602771790.0727518]         [Thread #52]      Analyzing...
[1602771790.488216]          [Thread #52]      Create read mapping...
[1602771805.7928438]         [Thread #52]    - [Thread #52] finished
[1602771829.3606052]         [Thread #55]    - [Thread #55] running on [1/28] CPUs
[1602771829.3606882]         [Thread #55]      Creating output directories...
[1602771829.362211]          [Thread #55]      Translating reads...
[1602771849.476004]          [Thread #55]      Running DIAMOND...
[1602771855.1008453]         [Thread #55]      Converting DIAMOND...
[1602771855.2220614]         [Thread #55]      Parsing DIAMOND...
[1602771855.687344]          [Thread #55]      Annotating...
