 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602790225.9387603]         [Thread #38]      Converting DIAMOND...
[1602790226.0606716]         [Thread #38]      Parsing DIAMOND...
[1602790226.1942213]         [Thread #38]      Annotating...
[1602790226.4963105]         [Thread #38]      Analyzing...
[1602790226.7825613]         [Thread #38]      Create read mapping...
[1602790241.9660947]         [Thread #38]    - [Thread #38] finished
[1602790222.0095086]         [Thread #39]    - [Thread #39] running on [1/28] CPUs
[1602790222.0096018]         [Thread #39]      Creating output directories...
[1602790222.0116982]         [Thread #39]      Translating reads...
[1602790241.7356122]         [Thread #39]      Running DIAMOND...
[1602790247.755389]          [Thread #39]      Converting DIAMOND...
[1602790247.8641121]         [Thread #39]      Parsing DIAMOND...
[1602790247.9929588]         [Thread #39]      Annotating...
[1602790248.2285826]         [Thread #39]      Analyzing...
[1602790248.2960806]         [Thread #39]      Create read mapping...
[1602790264.182407]          [Thread #39]    - [Thread #39] finished
[1602790244.0650642]         [Thread #40]    - [Thread #40] running on [1/28] CPUs
[1602790244.065146]          [Thread #40]      Creating output directories...
[1602790244.0668025]         [Thread #40]      Translating reads...
[1602790264.1832628]         [Thread #40]      Running DIAMOND...
[1602790270.2371366]         [Thread #40]      Converting DIAMOND...
[1602790270.326486]          [Thread #40]      Parsing DIAMOND...
[1602790270.4443812]         [Thread #40]      Annotating...
[1602790270.6159153]         [Thread #40]      Analyzing...
[1602790270.9162269]         [Thread #40]      Create read mapping...
[1602790285.8495429]         [Thread #40]    - [Thread #40] finished
[1602790266.346473]          [Thread #41]    - [Thread #41] running on [1/28] CPUs
[1602790266.3465567]         [Thread #41]      Creating output directories...
[1602790266.347953]          [Thread #41]      Translating reads...
[1602790285.8232903]         [Thread #41]      Running DIAMOND...
[1602790291.8445091]         [Thread #41]      Converting DIAMOND...
[1602790291.9692385]         [Thread #41]      Parsing DIAMOND...
[1602790292.2302065]         [Thread #41]      Annotating...
[1602790292.3408802]         [Thread #41]      Analyzing...
[1602790292.6193807]         [Thread #41]      Create read mapping...
[1602790307.3395753]         [Thread #41]    - [Thread #41] finished
[1602790288.0358546]         [Thread #42]    - [Thread #42] running on [1/28] CPUs
[1602790288.035892]          [Thread #42]      Creating output directories...
[1602790288.0369625]         [Thread #42]      Translating reads...
[1602790307.255334]          [Thread #42]      Running DIAMOND...
[1602790313.253858]          [Thread #42]      Converting DIAMOND...
[1602790313.352848]          [Thread #42]      Parsing DIAMOND...
[1602790313.604508]          [Thread #42]      Annotating...
[1602790313.8023748]         [Thread #42]      Analyzing...
[1602790314.0610762]         [Thread #42]      Create read mapping...
[1602790329.0303597]         [Thread #42]    - [Thread #42] finished
[1602790309.5435016]         [Thread #43]    - [Thread #43] running on [1/28] CPUs
[1602790309.543584]          [Thread #43]      Creating output directories...
[1602790309.5451052]         [Thread #43]      Translating reads...
