PANGAEA Sample ID,Mean_Date [YY/MM/DD hh:mm]*,Mean_Lat*,Mean_Long*,Mean_Depth [m]*,Mean_Temperature [deg C]*,Mean Depth MLD Sigma [m]*,Mean_Salinity [PSU]*,Mean_Oxygen [umol/kg]*,Mean_Nitrates[umol/L]*,NO2 [umol/L]**,PO4 [umol/L]**,NO2NO3 [umol/L]**,SI [umol/L]**,"AMODIS:PAR8d,Einsteins/m-2/d-1",Okubo-Weiss,Lyapunov_exp.,grad_SST_adv,retention,Mean Depth Max Fluo [m]*,Mean Depth Max N2 [m]*,Mean Depth Max O2 [m]*,Mean Depth Min O2 [m]*,Mean Depth Nitracline [m]*,miTAG.SILVA.Taxo.Richness,miTAG.SILVA.Phylo.Diversity,miTAG.SILVA.Chao,miTAG.SILVA.ace,miTAG.SILVA.Shannon,OG.Shannon,OG.Richness,OG.Evenness,FC - heterotrophs [cells/mL],FC - autotrophs [cells/mL],FC - bacteria [cells/mL],FC - picoeukaryotes [cells/mL],minimum generation time [h]
TARA_A100001518,1/11/10 19:14,23.38,37.29,85.5,26.1,35,40.2,180.0,1.2,0.01,0.03,0.01,0.85,23.4,NA,0.00,NA,0.00,80,142,28,287,231,NA,NA,NA,NA,NA,NA,NA,NA,294828,29385,324213,374,NA
TARA_A100001037,1/11/10 19:14,23.38,37.29,85.5,26.1,35,40.2,180.0,1.2,0.01,0.03,0.01,0.85,23.4,NA,0.00,NA,0.00,80,142,28,287,231,3146,505,4409,4349,6.55,7.20,17321,0.737,294828,29385,324213,374,12
TARA_A100001515,1/11/10 7:27,23.36,37.22,5.4,25.8,35,39.7,188.4,-0.5,0.01,0.02,0.00,0.87,24.7,NA,0.00,NA,0.00,80,142,28,287,231,NA,NA,NA,NA,NA,NA,NA,NA,444313,206786,651100,1437,NA
TARA_A100001035,1/11/10 7:27,23.36,37.22,5.4,25.8,35,39.7,188.4,-0.5,0.01,0.02,0.00,0.87,24.7,NA,0.00,NA,0.00,80,142,28,287,231,2142,348,2996,2934,6.32,7.04,13296,0.742,444313,206786,651100,1437,14
TARA_R100000027,3/12/10 6:19,20.82,63.50,5.5,25.6,7,36.5,210.9,NA,0.05,0.37,0.13,1.20,42.5,-0.03,0.07,0.23,18.83,21,23,28,378,88,NA,NA,NA,NA,NA,NA,NA,NA,2216959,231702,2448661,4807,NA
TARA_Y100000015,3/12/10 6:19,20.82,63.50,5.5,25.6,7,36.5,210.9,NA,0.05,0.37,0.13,1.20,42.5,-0.03,0.07,0.23,18.83,21,23,28,378,88,NA,NA,NA,NA,NA,NA,NA,NA,2216959,231702,2448661,4807,NA
TARA_Y100000022,3/12/10 6:19,20.82,63.50,5.5,25.6,7,36.5,210.9,NA,0.05,0.37,0.13,1.20,42.5,-0.03,0.07,0.23,18.83,21,23,28,378,88,2162,342,3048,2967,6.41,7.12,12504,0.754,2216959,231702,2448661,4807,12
TARA_R100000084,3/15/10 9:32,19.03,64.62,25.3,25.5,11,NA,154.7,1.2,0.70,0.42,1.86,1.63,46.0,0.01,0.07,0.16,1.08,32,108,32,487,123,NA,NA,NA,NA,NA,NA,NA,NA,1963051,279788,2242839,11930,NA
TARA_B100000073,3/15/10 9:32,19.03,64.62,25.3,25.5,11,NA,154.7,1.2,0.70,0.42,1.86,1.63,46.0,0.01,0.07,0.16,1.08,32,108,32,487,123,2354,383,3314,3235,6.47,7.17,14995,0.745,1963051,279788,2242839,11930,9
TARA_R100000030,3/12/10 10:34,20.82,63.51,17.4,25.4,7,36.5,211.6,0.4,0.51,0.51,2.08,1.79,41.8,-0.03,0.07,0.23,18.83,21,23,28,378,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
